,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
11279,TR-AF-110a.1a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.1,Quantitative,Metric tons (t) CO₂-e,TR-AF-110a.1a,Metric tons (t) CO₂-e
11280,TR-AF-110a.2a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.2,Discussion and Analysis,,TR-AF-110a.2a,
11281,TR-AF-110a.3a,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3a,Gigajoules (GJ)
11282,TR-AF-110a.3b,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3b,Percentage (%)
11283,TR-AF-110a.3c,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3c,Percentage (%)
11284,TR-AF-110a.3d,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3d,Gigajoules (GJ)
11285,TR-AF-110a.3e,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3e,Percentage (%)
11286,TR-AF-110a.3f,,TR,TR-AF,TR-AF-110a,TR-AF-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AF-110a.3f,Percentage (%)
11287,TR-AF-120a.1a,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1a,Metric tons (t)
11288,TR-AF-120a.1b,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1b,Metric tons (t)
11289,TR-AF-120a.1c,,TR,TR-AF,TR-AF-120a,TR-AF-120a.1,Quantitative,Metric tons (t),TR-AF-120a.1c,Metric tons (t)
